frequency,absorption,reflection,Treflected,Temitted
100,0.45,0,0,5.5
101,0.45,0,0,5.5
102,0.45,0,0,5.5
103,0.45,0,0,5.5
104,0.45,0,0,5.5
105,0.45,0,0,5.5
106,0.45,0,0,5.5
107,0.45,0,0,5.5
108,0.45,0,0,5.5
109,0.45,0,0,5.5
110,0.45,0,0,5.5
111,0.45,0,0,5.5
112,0.45,0,0,5.5
113,0.45,0,0,5.5
114,0.45,0,0,5.5
115,0.45,0,0,5.5
116,0.45,0,0,5.5
117,0.45,0,0,5.5
118,0.45,0,0,5.5
119,0.45,0,0,5.5
120,0.45,0,0,5.5
121,0.45,0,0,5.5
122,0.45,0,0,5.5
123,0.45,0,0,5.5
124,0.45,0,0,5.5
125,0.45,0,0,5.5
126,0.45,0,0,5.5
127,0.45,0,0,5.5
128,0.45,0,0,5.5
129,0.45,0,0,5.5
130,0.45,0,0,5.5
131,0.45,0,0,5.5
132,0.45,0,0,5.5
133,0.45,0,0,5.5
134,0.45,0,0,5.5
135,0.45,0,0,5.5
136,0.45,0,0,5.5
137,0.45,0,0,5.5
138,0.45,0,0,5.5
139,0.45,0,0,5.5
140,0.45,0,0,5.5
141,0.45,0,0,5.5
142,0.45,0,0,5.5
143,0.45,0,0,5.5
144,0.45,0,0,5.5
145,0.45,0,0,5.5
146,0.45,0,0,5.5
147,0.45,0,0,5.5
148,0.45,0,0,5.5
149,0.45,0,0,5.5
150,0.45,0,0,5.5
151,0.45,0,0,5.5
152,0.45,0,0,5.5
153,0.45,0,0,5.5
154,0.45,0,0,5.5
155,0.45,0,0,5.5
156,0.45,0,0,5.5
157,0.45,0,0,5.5
158,0.45,0,0,5.5
159,0.45,0,0,5.5
160,0.45,0,0,5.5
161,0.45,0,0,5.5
162,0.45,0,0,5.5
163,0.45,0,0,5.5
164,0.45,0,0,5.5
165,0.45,0,0,5.5
166,0.45,0,0,5.5
167,0.45,0,0,5.5
168,0.45,0,0,5.5
169,0.45,0,0,5.5
170,0.45,0,0,5.5
171,0.45,0,0,5.5
172,0.45,0,0,5.5
173,0.45,0,0,5.5
174,0.45,0,0,5.5
175,0.45,0,0,5.5
176,0.45,0,0,5.5
177,0.45,0,0,5.5
178,0.45,0,0,5.5
179,0.45,0,0,5.5
180,0.45,0,0,5.5
181,0.45,0,0,5.5
182,0.45,0,0,5.5
183,0.45,0,0,5.5
184,0.45,0,0,5.5
185,0.45,0,0,5.5
186,0.45,0,0,5.5
187,0.45,0,0,5.5
188,0.45,0,0,5.5
189,0.45,0,0,5.5
190,0.45,0,0,5.5
191,0.45,0,0,5.5
192,0.45,0,0,5.5
193,0.45,0,0,5.5
194,0.45,0,0,5.5
195,0.45,0,0,5.5
196,0.45,0,0,5.5
197,0.45,0,0,5.5
198,0.45,0,0,5.5
199,0.45,0,0,5.5
200,0.45,0,0,5.5
201,0.45,0,0,5.5
202,0.45,0,0,5.5
203,0.45,0,0,5.5
204,0.45,0,0,5.5
205,0.45,0,0,5.5
206,0.45,0,0,5.5
207,0.45,0,0,5.5
208,0.45,0,0,5.5
209,0.45,0,0,5.5
210,0.45,0,0,5.5
211,0.45,0,0,5.5
212,0.45,0,0,5.5
213,0.45,0,0,5.5
214,0.45,0,0,5.5
215,0.45,0,0,5.5
216,0.45,0,0,5.5
217,0.45,0,0,5.5
218,0.45,0,0,5.5
219,0.45,0,0,5.5
220,0.45,0,0,5.5
221,0.45,0,0,5.5
222,0.45,0,0,5.5
223,0.45,0,0,5.5
224,0.45,0,0,5.5
225,0.45,0,0,5.5
226,0.45,0,0,5.5
227,0.45,0,0,5.5
228,0.45,0,0,5.5
229,0.45,0,0,5.5
230,0.45,0,0,5.5
231,0.45,0,0,5.5
232,0.45,0,0,5.5
233,0.45,0,0,5.5
234,0.45,0,0,5.5
235,0.45,0,0,5.5
236,0.45,0,0,5.5
237,0.45,0,0,5.5
238,0.45,0,0,5.5
239,0.45,0,0,5.5
240,0.45,0,0,5.5
241,0.45,0,0,5.5
242,0.45,0,0,5.5
243,0.45,0,0,5.5
244,0.45,0,0,5.5
245,0.45,0,0,5.5
246,0.45,0,0,5.5
247,0.45,0,0,5.5
248,0.45,0,0,5.5
249,0.45,0,0,5.5
250,0.45,0,0,5.5
251,0.45,0,0,5.5
252,0.45,0,0,5.5
253,0.45,0,0,5.5
254,0.45,0,0,5.5
255,0.45,0,0,5.5
256,0.45,0,0,5.5
257,0.45,0,0,5.5
258,0.45,0,0,5.5
259,0.45,0,0,5.5
260,0.45,0,0,5.5
261,0.45,0,0,5.5
262,0.45,0,0,5.5
263,0.45,0,0,5.5
264,0.45,0,0,5.5
265,0.45,0,0,5.5
266,0.45,0,0,5.5
267,0.45,0,0,5.5
268,0.45,0,0,5.5
269,0.45,0,0,5.5
270,0.45,0,0,5.5
271,0.45,0,0,5.5
272,0.45,0,0,5.5
273,0.45,0,0,5.5
274,0.45,0,0,5.5
275,0.45,0,0,5.5
276,0.45,0,0,5.5
277,0.45,0,0,5.5
278,0.45,0,0,5.5
279,0.45,0,0,5.5
280,0.45,0,0,5.5
281,0.45,0,0,5.5
282,0.45,0,0,5.5
283,0.45,0,0,5.5
284,0.45,0,0,5.5
285,0.45,0,0,5.5
286,0.45,0,0,5.5
287,0.45,0,0,5.5
288,0.45,0,0,5.5
289,0.45,0,0,5.5
290,0.45,0,0,5.5
291,0.45,0,0,5.5
292,0.45,0,0,5.5
293,0.45,0,0,5.5
294,0.45,0,0,5.5
295,0.45,0,0,5.5
296,0.45,0,0,5.5
297,0.45,0,0,5.5
298,0.45,0,0,5.5
299,0.45,0,0,5.5
300,0.45,0,0,5.5
301,0.45,0,0,5.5
302,0.45,0,0,5.5
303,0.45,0,0,5.5
304,0.45,0,0,5.5
305,0.45,0,0,5.5
306,0.45,0,0,5.5
307,0.45,0,0,5.5
308,0.45,0,0,5.5
309,0.45,0,0,5.5
310,0.45,0,0,5.5
311,0.45,0,0,5.5
312,0.45,0,0,5.5
313,0.45,0,0,5.5
314,0.45,0,0,5.5
315,0.45,0,0,5.5
316,0.45,0,0,5.5
317,0.45,0,0,5.5
318,0.45,0,0,5.5
319,0.45,0,0,5.5
320,0.45,0,0,5.5
