frequency,absorption,reflection,Treflected,Temitted
100,0.06,0,0,273
101,0.06,0,0,273
102,0.06,0,0,273
103,0.06,0,0,273
104,0.06,0,0,273
105,0.06,0,0,273
106,0.06,0,0,273
107,0.06,0,0,273
108,0.06,0,0,273
109,0.06,0,0,273
110,0.06,0,0,273
111,0.06,0,0,273
112,0.06,0,0,273
113,0.06,0,0,273
114,0.06,0,0,273
115,0.06,0,0,273
116,0.06,0,0,273
117,0.06,0,0,273
118,0.06,0,0,273
119,0.06,0,0,273
120,0.06,0,0,273
121,0.06,0,0,273
122,0.06,0,0,273
123,0.06,0,0,273
124,0.06,0,0,273
125,0.06,0,0,273
126,0.06,0,0,273
127,0.06,0,0,273
128,0.06,0,0,273
129,0.06,0,0,273
130,0.06,0,0,273
131,0.06,0,0,273
132,0.06,0,0,273
133,0.06,0,0,273
134,0.06,0,0,273
135,0.06,0,0,273
136,0.06,0,0,273
137,0.06,0,0,273
138,0.06,0,0,273
139,0.06,0,0,273
140,0.06,0,0,273
141,0.06,0,0,273
142,0.06,0,0,273
143,0.06,0,0,273
144,0.06,0,0,273
145,0.06,0,0,273
146,0.06,0,0,273
147,0.06,0,0,273
148,0.06,0,0,273
149,0.06,0,0,273
150,0.06,0,0,273
151,0.06,0,0,273
152,0.06,0,0,273
153,0.06,0,0,273
154,0.06,0,0,273
155,0.06,0,0,273
156,0.06,0,0,273
157,0.06,0,0,273
158,0.06,0,0,273
159,0.06,0,0,273
160,0.06,0,0,273
161,0.06,0,0,273
162,0.06,0,0,273
163,0.06,0,0,273
164,0.06,0,0,273
165,0.06,0,0,273
166,0.06,0,0,273
167,0.06,0,0,273
168,0.06,0,0,273
169,0.06,0,0,273
170,0.06,0,0,273
171,0.06,0,0,273
172,0.06,0,0,273
173,0.06,0,0,273
174,0.06,0,0,273
175,0.06,0,0,273
176,0.06,0,0,273
177,0.06,0,0,273
178,0.06,0,0,273
179,0.06,0,0,273
180,0.06,0,0,273
181,0.06,0,0,273
182,0.06,0,0,273
183,0.06,0,0,273
184,0.06,0,0,273
185,0.06,0,0,273
186,0.06,0,0,273
187,0.06,0,0,273
188,0.06,0,0,273
189,0.06,0,0,273
190,0.06,0,0,273
191,0.06,0,0,273
192,0.06,0,0,273
193,0.06,0,0,273
194,0.06,0,0,273
195,0.06,0,0,273
196,0.06,0,0,273
197,0.06,0,0,273
198,0.06,0,0,273
199,0.06,0,0,273
200,0.06,0,0,273
201,0.06,0,0,273
202,0.06,0,0,273
203,0.06,0,0,273
204,0.06,0,0,273
205,0.06,0,0,273
206,0.06,0,0,273
207,0.06,0,0,273
208,0.06,0,0,273
209,0.06,0,0,273
210,0.06,0,0,273
211,0.06,0,0,273
212,0.06,0,0,273
213,0.06,0,0,273
214,0.06,0,0,273
215,0.06,0,0,273
216,0.06,0,0,273
217,0.06,0,0,273
218,0.06,0,0,273
219,0.06,0,0,273
220,0.06,0,0,273
221,0.06,0,0,273
222,0.06,0,0,273
223,0.06,0,0,273
224,0.06,0,0,273
225,0.06,0,0,273
226,0.06,0,0,273
227,0.06,0,0,273
228,0.06,0,0,273
229,0.06,0,0,273
230,0.06,0,0,273
231,0.06,0,0,273
232,0.06,0,0,273
233,0.06,0,0,273
234,0.06,0,0,273
235,0.06,0,0,273
236,0.06,0,0,273
237,0.06,0,0,273
238,0.06,0,0,273
239,0.06,0,0,273
240,0.06,0,0,273
241,0.06,0,0,273
242,0.06,0,0,273
243,0.06,0,0,273
244,0.06,0,0,273
245,0.06,0,0,273
246,0.06,0,0,273
247,0.06,0,0,273
248,0.06,0,0,273
249,0.06,0,0,273
250,0.06,0,0,273
251,0.06,0,0,273
252,0.06,0,0,273
253,0.06,0,0,273
254,0.06,0,0,273
255,0.06,0,0,273
256,0.06,0,0,273
257,0.06,0,0,273
258,0.06,0,0,273
259,0.06,0,0,273
260,0.06,0,0,273
261,0.06,0,0,273
262,0.06,0,0,273
263,0.06,0,0,273
264,0.06,0,0,273
265,0.06,0,0,273
266,0.06,0,0,273
267,0.06,0,0,273
268,0.06,0,0,273
269,0.06,0,0,273
270,0.06,0,0,273
271,0.06,0,0,273
272,0.06,0,0,273
273,0.06,0,0,273
274,0.06,0,0,273
275,0.06,0,0,273
276,0.06,0,0,273
277,0.06,0,0,273
278,0.06,0,0,273
279,0.06,0,0,273
280,0.06,0,0,273
281,0.06,0,0,273
282,0.06,0,0,273
283,0.06,0,0,273
284,0.06,0,0,273
285,0.06,0,0,273
286,0.06,0,0,273
287,0.06,0,0,273
288,0.06,0,0,273
289,0.06,0,0,273
290,0.06,0,0,273
291,0.06,0,0,273
292,0.06,0,0,273
293,0.06,0,0,273
294,0.06,0,0,273
295,0.06,0,0,273
296,0.06,0,0,273
297,0.06,0,0,273
298,0.06,0,0,273
299,0.06,0,0,273
300,0.06,0,0,273
301,0.06,0,0,273
302,0.06,0,0,273
303,0.06,0,0,273
304,0.06,0,0,273
305,0.06,0,0,273
306,0.06,0,0,273
307,0.06,0,0,273
308,0.06,0,0,273
309,0.06,0,0,273
310,0.06,0,0,273
311,0.06,0,0,273
312,0.06,0,0,273
313,0.06,0,0,273
314,0.06,0,0,273
315,0.06,0,0,273
316,0.06,0,0,273
317,0.06,0,0,273
318,0.06,0,0,273
319,0.06,0,0,273
320,0.06,0,0,273
