,Capacitive axis,,,Inductive axis,,,,,,MHWP_v1,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13g,,,,emitted,reflected
10,0.796766,0.203186,4.75E-05,3.17E-06,0.986242,0.0137546,246.04476,-7.014317,,nC=5,,,,290,25
11,0.778288,0.221656,5.59E-05,3.42E-06,0.985066,0.0149307,242.93482,-7.1174756,,nL=5,,,,290,25
12,0.763259,0.236678,6.36E-05,3.84E-06,0.983836,0.0161598,239.97586,-7.2036172,,,,,,290,25
13,0.751898,0.248032,7.06E-05,4.45E-06,0.982553,0.0174428,237.16638,-7.2704586,,,,,,290,25
14,0.744326,0.255597,7.71E-05,5.31E-06,0.981218,0.0187765,234.5035,-7.3164361,,,,,,290,25
15,0.740591,0.259326,8.34E-05,6.51E-06,0.979841,0.020153,231.984,-7.3406723,,,,,,290,25
16,0.740682,0.259229,8.95E-05,8.15E-06,0.978433,0.0215587,229.60499,-7.3429501,,,,,,290,25
17,0.744537,0.255368,9.57E-05,1.04E-05,0.977015,0.0229743,227.36429,-7.3236998,,,,,,290,25
18,0.752037,0.247861,0.000101954,1.34E-05,0.975612,0.0243749,225.26044,-7.2839984,,,,,,290,25
19,0.762993,0.236899,0.000108376,1.74E-05,0.974251,0.0257315,223.29239,-7.2255849,,,,,,290,25
20,0.777122,0.222763,0.000115335,2.27E-05,0.972964,0.0270135,221.45884,-7.1508725,,,,,,290,25
21,0.794019,0.205859,0.000122532,2.94E-05,0.971775,0.0281958,219.75726,-7.062965,,,,,,290,25
22,0.813122,0.186748,0.000130281,3.78E-05,0.970695,0.0292669,218.18251,-6.9656536,,,,,,290,25
23,0.833685,0.166177,0.000138372,4.78E-05,0.969713,0.0302393,216.72538,-6.8633814,,,,,,290,25
24,0.854752,0.145101,0.000146776,5.90E-05,0.968781,0.0311596,215.37121,-6.7611607,,,,,,290,25
25,0.875171,0.124673,0.000155643,7.06E-05,0.967814,0.0321152,214.09921,-6.6644232,,,,,,290,25
26,0.893628,0.106208,0.000164703,8.13E-05,0.966692,0.033227,212.88293,-6.5787823,,,,,,290,25
27,0.90874,0.0910863,0.000173472,8.95E-05,0.965279,0.0346314,211.69221,-6.5097227,,,,,,290,25
28,0.919193,0.0806249,0.000182174,9.35E-05,0.96346,0.0364469,210.49674,-6.4622157,,,,,,290,25
29,0.923902,0.0759075,0.000190265,9.23E-05,0.961171,0.0387362,209.27037,-6.4402977,,,,,,290,25
30,0.922177,0.0776258,0.000197224,8.59E-05,0.958437,0.0414775,207.99504,-6.446693,,,,,,290,25
31,0.913817,0.0859709,0.000212319,9.53E-05,0.958717,0.041188,206.69285,-6.4915092,,,,,,290,25
32,0.899215,0.100558,0.000227056,0.000104498,0.959365,0.0405304,205.3797,-6.5668808,,,,,,290,25
33,0.879217,0.120541,0.000241183,0.000113316,0.960314,0.0395727,204.05697,-6.6700556,,,,,,290,25
