frequency,absorption,reflection,Treflected,Temitted
100,0.03,0,0,290
101,0.03,0,0,290
102,0.03,0,0,290
103,0.03,0,0,290
104,0.03,0,0,290
105,0.03,0,0,290
106,0.03,0,0,290
107,0.03,0,0,290
108,0.03,0,0,290
109,0.03,0,0,290
110,0.03,0,0,290
111,0.03,0,0,290
112,0.03,0,0,290
113,0.03,0,0,290
114,0.03,0,0,290
115,0.03,0,0,290
116,0.03,0,0,290
117,0.03,0,0,290
118,0.03,0,0,290
119,0.03,0,0,290
120,0.03,0,0,290
121,0.03,0,0,290
122,0.03,0,0,290
123,0.03,0,0,290
124,0.03,0,0,290
125,0.03,0,0,290
126,0.03,0,0,290
127,0.03,0,0,290
128,0.03,0,0,290
129,0.03,0,0,290
130,0.03,0,0,290
131,0.03,0,0,290
132,0.03,0,0,290
133,0.03,0,0,290
134,0.03,0,0,290
135,0.03,0,0,290
136,0.03,0,0,290
137,0.03,0,0,290
138,0.03,0,0,290
139,0.03,0,0,290
140,0.03,0,0,290
141,0.03,0,0,290
142,0.03,0,0,290
143,0.03,0,0,290
144,0.03,0,0,290
145,0.03,0,0,290
146,0.03,0,0,290
147,0.03,0,0,290
148,0.03,0,0,290
149,0.03,0,0,290
150,0.03,0,0,290
151,0.03,0,0,290
152,0.03,0,0,290
153,0.03,0,0,290
154,0.03,0,0,290
155,0.03,0,0,290
156,0.03,0,0,290
157,0.03,0,0,290
158,0.03,0,0,290
159,0.03,0,0,290
160,0.03,0,0,290
161,0.03,0,0,290
162,0.03,0,0,290
163,0.03,0,0,290
164,0.03,0,0,290
165,0.03,0,0,290
166,0.03,0,0,290
167,0.03,0,0,290
168,0.03,0,0,290
169,0.03,0,0,290
170,0.03,0,0,290
171,0.03,0,0,290
172,0.03,0,0,290
173,0.03,0,0,290
174,0.03,0,0,290
175,0.03,0,0,290
176,0.03,0,0,290
177,0.03,0,0,290
178,0.03,0,0,290
179,0.03,0,0,290
180,0.03,0,0,290
181,0.03,0,0,290
182,0.03,0,0,290
183,0.03,0,0,290
184,0.03,0,0,290
185,0.03,0,0,290
186,0.03,0,0,290
187,0.03,0,0,290
188,0.03,0,0,290
189,0.03,0,0,290
190,0.03,0,0,290
191,0.03,0,0,290
192,0.03,0,0,290
193,0.03,0,0,290
194,0.03,0,0,290
195,0.03,0,0,290
196,0.03,0,0,290
197,0.03,0,0,290
198,0.03,0,0,290
199,0.03,0,0,290
200,0.03,0,0,290
201,0.03,0,0,290
202,0.03,0,0,290
203,0.03,0,0,290
204,0.03,0,0,290
205,0.03,0,0,290
206,0.03,0,0,290
207,0.03,0,0,290
208,0.03,0,0,290
209,0.03,0,0,290
210,0.03,0,0,290
211,0.03,0,0,290
212,0.03,0,0,290
213,0.03,0,0,290
214,0.03,0,0,290
215,0.03,0,0,290
216,0.03,0,0,290
217,0.03,0,0,290
218,0.03,0,0,290
219,0.03,0,0,290
220,0.03,0,0,290
221,0.03,0,0,290
222,0.03,0,0,290
223,0.03,0,0,290
224,0.03,0,0,290
225,0.03,0,0,290
226,0.03,0,0,290
227,0.03,0,0,290
228,0.03,0,0,290
229,0.03,0,0,290
230,0.03,0,0,290
231,0.03,0,0,290
232,0.03,0,0,290
233,0.03,0,0,290
234,0.03,0,0,290
235,0.03,0,0,290
236,0.03,0,0,290
237,0.03,0,0,290
238,0.03,0,0,290
239,0.03,0,0,290
240,0.03,0,0,290
241,0.03,0,0,290
242,0.03,0,0,290
243,0.03,0,0,290
244,0.03,0,0,290
245,0.03,0,0,290
246,0.03,0,0,290
247,0.03,0,0,290
248,0.03,0,0,290
249,0.03,0,0,290
250,0.03,0,0,290
251,0.03,0,0,290
252,0.03,0,0,290
253,0.03,0,0,290
254,0.03,0,0,290
255,0.03,0,0,290
256,0.03,0,0,290
257,0.03,0,0,290
258,0.03,0,0,290
259,0.03,0,0,290
260,0.03,0,0,290
261,0.03,0,0,290
262,0.03,0,0,290
263,0.03,0,0,290
264,0.03,0,0,290
265,0.03,0,0,290
266,0.03,0,0,290
267,0.03,0,0,290
268,0.03,0,0,290
269,0.03,0,0,290
270,0.03,0,0,290
271,0.03,0,0,290
272,0.03,0,0,290
273,0.03,0,0,290
274,0.03,0,0,290
275,0.03,0,0,290
276,0.03,0,0,290
277,0.03,0,0,290
278,0.03,0,0,290
279,0.03,0,0,290
280,0.03,0,0,290
281,0.03,0,0,290
282,0.03,0,0,290
283,0.03,0,0,290
284,0.03,0,0,290
285,0.03,0,0,290
286,0.03,0,0,290
287,0.03,0,0,290
288,0.03,0,0,290
289,0.03,0,0,290
290,0.03,0,0,290
291,0.03,0,0,290
292,0.03,0,0,290
293,0.03,0,0,290
294,0.03,0,0,290
295,0.03,0,0,290
296,0.03,0,0,290
297,0.03,0,0,290
298,0.03,0,0,290
299,0.03,0,0,290
300,0.03,0,0,290
301,0.03,0,0,290
302,0.03,0,0,290
303,0.03,0,0,290
304,0.03,0,0,290
305,0.03,0,0,290
306,0.03,0,0,290
307,0.03,0,0,290
308,0.03,0,0,290
309,0.03,0,0,290
310,0.03,0,0,290
311,0.03,0,0,290
312,0.03,0,0,290
313,0.03,0,0,290
314,0.03,0,0,290
315,0.03,0,0,290
316,0.03,0,0,290
317,0.03,0,0,290
318,0.03,0,0,290
319,0.03,0,0,290
320,0.03,0,0,290
