frequency,absorption,reflection,Treflected,Temitted
100,0,0,45,290
101,0,0,45,290
102,0,0,45,290
103,0,0,45,290
104,0,0,45,290
105,0,0,45,290
106,0,0,45,290
107,0,0,45,290
108,0,0,45,290
109,0,0,45,290
110,0,0,45,290
111,0,0,45,290
112,0,0,45,290
113,0,0,45,290
114,0,0,45,290
115,0,0,45,290
116,0,0,45,290
117,0,0,45,290
118,0,0,45,290
119,0,0,45,290
120,0,0,45,290
121,0,0,45,290
122,0,0,45,290
123,0,0,45,290
124,0,0,45,290
125,0,0,45,290
126,0,0,45,290
127,0,0,45,290
128,0,0,45,290
129,0,0,45,290
130,0,0,45,290
131,0,0,45,290
132,0,0,45,290
133,0,0,45,290
134,0,0,45,290
135,0,0,45,290
136,0,0,45,290
137,0,0,45,290
138,0,0,45,290
139,0,0,45,290
140,0,0,45,290
141,0,0,45,290
142,0,0,45,290
143,0,0,45,290
144,0,0,45,290
145,0,0,45,290
146,0,0,45,290
147,0,0,45,290
148,0,0,45,290
149,0,0,45,290
150,0,0,45,290
151,0,0,45,290
152,0,0,45,290
153,0,0,45,290
154,0,0,45,290
155,0,0,45,290
156,0,0,45,290
157,0,0,45,290
158,0,0,45,290
159,0,0,45,290
160,0,0,45,290
161,0,0,45,290
162,0,0,45,290
163,0,0,45,290
164,0,0,45,290
165,0,0,45,290
166,0,0,45,290
167,0,0,45,290
168,0,0,45,290
169,0,0,45,290
170,0,0,45,290
171,0,0,45,290
172,0,0,45,290
173,0,0,45,290
174,0,0,45,290
175,0,0,45,290
176,0,0,45,290
177,0,0,45,290
178,0,0,45,290
179,0,0,45,290
180,0,0,45,290
181,0,0,45,290
182,0,0,45,290
183,0,0,45,290
184,0,0,45,290
185,0,0,45,290
186,0,0,45,290
187,0,0,45,290
188,0,0,45,290
189,0,0,45,290
190,0,0,45,290
191,0,0,45,290
192,0,0,45,290
193,0,0,45,290
194,0,0,45,290
195,0,0,45,290
196,0,0,45,290
197,0,0,45,290
198,0,0,45,290
199,0,0,45,290
200,0,0,45,290
201,0,0,45,290
202,0,0,45,290
203,0,0,45,290
204,0,0,45,290
205,0,0,45,290
206,0,0,45,290
207,0,0,45,290
208,0,0,45,290
209,0,0,45,290
210,0,0,45,290
211,0,0,45,290
212,0,0,45,290
213,0,0,45,290
214,0,0,45,290
215,0,0,45,290
216,0,0,45,290
217,0,0,45,290
218,0,0,45,290
219,0,0,45,290
220,0,0,45,290
221,0,0,45,290
222,0,0,45,290
223,0,0,45,290
224,0,0,45,290
225,0,0,45,290
226,0,0,45,290
227,0,0,45,290
228,0,0,45,290
229,0,0,45,290
230,0,0,45,290
231,0,0,45,290
232,0,0,45,290
233,0,0,45,290
234,0,0,45,290
235,0,0,45,290
236,0,0,45,290
237,0,0,45,290
238,0,0,45,290
239,0,0,45,290
240,0,0,45,290
241,0,0,45,290
242,0,0,45,290
243,0,0,45,290
244,0,0,45,290
245,0,0,45,290
246,0,0,45,290
247,0,0,45,290
248,0,0,45,290
249,0,0,45,290
250,0,0,45,290
251,0,0,45,290
252,0,0,45,290
253,0,0,45,290
254,0,0,45,290
255,0,0,45,290
256,0,0,45,290
257,0,0,45,290
258,0,0,45,290
259,0,0,45,290
260,0,0,45,290
261,0,0,45,290
262,0,0,45,290
263,0,0,45,290
264,0,0,45,290
265,0,0,45,290
266,0,0,45,290
267,0,0,45,290
268,0,0,45,290
269,0,0,45,290
270,0,0,45,290
271,0,0,45,290
272,0,0,45,290
273,0,0,45,290
274,0,0,45,290
275,0,0,45,290
276,0,0,45,290
277,0,0,45,290
278,0,0,45,290
279,0,0,45,290
280,0,0,45,290
281,0,0,45,290
282,0,0,45,290
283,0,0,45,290
284,0,0,45,290
285,0,0,45,290
286,0,0,45,290
287,0,0,45,290
288,0,0,45,290
289,0,0,45,290
290,0,0,45,290
291,0,0,45,290
292,0,0,45,290
293,0,0,45,290
294,0,0,45,290
295,0,0,45,290
296,0,0,45,290
297,0,0,45,290
298,0,0,45,290
299,0,0,45,290
300,0,0,45,290
301,0,0,45,290
302,0,0,45,290
303,0,0,45,290
304,0,0,45,290
305,0,0,45,290
306,0,0,45,290
307,0,0,45,290
308,0,0,45,290
309,0,0,45,290
310,0,0,45,290
311,0,0,45,290
312,0,0,45,290
313,0,0,45,290
314,0,0,45,290
315,0,0,45,290
316,0,0,45,290
317,0,0,45,290
318,0,0,45,290
319,0,0,45,290
320,0,0,45,290
