,Capacitive axis,,,Inductive axis,,,,,,MHWP_v2,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13c,,,,emitted,reflected
10,0.784716,0.215238,4.66E-05,1.82E-06,0.969453,0.0305452,251.06786,-7.0777609,,nC=6,,,,290,45
11,0.770743,0.229202,5.47E-05,1.95E-06,0.966588,0.0334105,247.54163,-7.1567758,,nL=6,,,,290,45
12,0.761622,0.238316,6.26E-05,2.19E-06,0.963603,0.0363945,244.12638,-7.2096205,,,,,,290,45
13,0.757477,0.242453,7.02E-05,2.54E-06,0.960504,0.0394939,240.81871,-7.234661,,,,,,290,45
14,0.758321,0.241602,7.79E-05,3.06E-06,0.957305,0.0426915,237.61388,-7.2314139,,,,,,290,45
15,0.764065,0.235849,8.60E-05,3.79E-06,0.954041,0.0459548,234.50725,-7.2005266,,,,,,290,45
16,0.774512,0.225394,9.47E-05,4.81E-06,0.950763,0.0492321,231.49544,-7.1437922,,,,,,290,45
17,0.789321,0.210575,1.04E-04,6.22E-06,0.947543,0.0524508,228.57694,-7.0641873,,,,,,290,45
18,0.807963,0.191923,0.000114009,8.14E-06,0.944475,0.055517,225.75262,-6.9659267,,,,,,290,45
19,0.829655,0.17022,0.00012511,1.07E-05,0.94167,0.0583192,223.02587,-6.8544845,,,,,,290,45
20,0.853302,0.14656,0.000137284,1.42E-05,0.939246,0.0607401,220.4025,-6.7365645,,,,,,290,45
21,0.877463,0.122387,0.000150353,1.87E-05,0.937305,0.0626768,217.89028,-6.6199416,,,,,,290,45
22,0.900358,0.0994781,0.000164032,2.42E-05,0.935905,0.0640705,215.49817,-6.513135,,,,,,290,45
23,0.919975,0.0798466,0.000178017,3.07E-05,0.935027,0.0649418,213.23526,-6.424858,,,,,,290,45
24,0.934274,0.0655337,0.00019189,3.78E-05,0.934541,0.0654213,211.10957,-6.363254,,,,,,290,45
25,0.941479,0.058316,0.00020498,4.49E-05,0.934196,0.0657589,209.12712,-6.3350012,,,,,,290,45
